Spectrum	Date	Time	CO% (1) 191C (2of3)	CO% (1) 191C (2of3) average	CO% (1) 191C (2of3) stdev	CO2% (20) 191C (1of2) R4	CO2% (20) 191C (1of2) R4 average	CO2% (20) 191C (1of2) R4 stdev	H2O% (25) 191C	H2O% (25) 191C average	H2O% (25) 191C stdev	CO (500) 191C (1of3)	CO (500) 191C (1of3) average	CO (500) 191C (1of3) stdev	CO2 low% (4) 191C (2of2)	CO2 low% (4) 191C (2of2) average	CO2 low% (4) 191C (2of2) stdev	Temp (C)	Temp (C) average	Temp (C) stdev	Pressure (Atm)	Pressure (Atm) average	Pressure (Atm) stdev	
N/A	04.04.2023	15:07:31,670	0,005396	0,005396	NaN	7,629058	7,629058	NaN	0,480912	0,480912	NaN	37,710545	37,710545	NaN	-0,417290	-0,417290	NaN	190,637238	190,637238	NaN	0,986120	0,986120	NaN
N/A	04.04.2023	15:07:33,844	0,004840	0,005118	0,000393	6,083863	6,856461	1,092618	0,538505	0,509708	0,040724	35,446869	36,578705	1,600660	-0,415442	-0,416366	0,001307	190,637238	190,637238	0,000000	0,985798	0,985959	0,000227
N/A	04.04.2023	15:07:35,672	0,004115	0,004783	0,000642	5,107782	6,273568	1,271298	0,594937	0,538118	0,057014	33,131378	35,429596	2,289632	-0,405326	-0,412686	0,006441	190,637238	190,637253	0,000019	0,985798	0,985905	0,000185
N/A	04.04.2023	15:07:37,649	0,004250	0,004650	0,000588	4,130531	5,737809	1,491851	0,649655	0,566002	0,072644	31,799182	34,521992	2,605748	-0,400013	-0,409518	0,008235	190,637238	190,637238	0,000000	0,985959	0,985919	0,000154
N/A	04.04.2023	15:07:39,761	0,003364	0,004393	0,000768	3,403966	5,271040	1,660897	0,690801	0,590962	0,084100	29,945144	33,606621	3,046629	-0,384528	-0,404520	0,013257	190,789856	190,667755	0,068253	0,985959	0,985927	0,000134
N/A	04.04.2023	15:07:41,644	0,003299	0,004211	0,000819	2,693067	4,841378	1,820582	0,701116	0,609321	0,087639	28,779059	32,802029	3,363003	-0,391183	-0,402297	0,013048	190,637238	190,662674	0,062306	0,985798	0,985905	0,000131
N/A	04.04.2023	15:07:43,757	0,002921	0,004026	0,000893	2,262512	4,472969	1,926702	0,739266	0,627885	0,093876	27,550122	32,051754	3,655843	-0,374434	-0,398316	0,015899	190,637238	190,659042	0,057684	0,985798	0,985890	0,000126
N/A	04.04.2023	15:07:45,561	0,003096	0,003910	0,000890	1,930892	4,155209	1,997408	0,738212	0,641676	0,095264	26,923367	31,410707	3,839717	-0,379964	-0,396022	0,016087	190,637238	190,656311	0,053959	0,985798	0,985879	0,000121
N/A	04.04.2023	15:07:47,618	0,002662	0,003771	0,000930	1,557243	3,866546	2,059337	0,759025	0,654714	0,097319	26,514610	30,866695	3,945127	-0,367978	-0,392906	0,017715	190,637238	190,654190	0,050873	0,985959	0,985888	0,000117
N/A	04.04.2023	15:07:49,893	0,002696	0,003664	0,000941	1,426421	3,622534	2,089278	0,781082	0,667351	0,100078	25,984070	30,378433	4,027244	-0,371973	-0,390813	0,017966	190,637238	190,652496	0,048262	0,986120	0,985911	0,000132
N/A	04.04.2023	15:07:51,680	0,002456	0,003554	0,000964	1,174791	3,400012	2,115006	0,791900	0,678674	0,102099	25,498085	29,934765	4,094152	-0,379708	-0,389803	0,017370	190,637238	190,651108	0,046016	0,985798	0,985900	0,000130
N/A	04.04.2023	15:07:53,506	0,002425	0,003460	0,000975	1,063362	3,205291	2,126402	0,792793	0,688184	0,102771	25,035336	29,526480	4,151942	-0,368390	-0,388019	0,017677	190,637238	190,649948	0,044057	0,985959	0,985905	0,000125
N/A	04.04.2023	15:07:55,838	0,002769	0,003241	0,000776	0,962792	2,649769	1,692047	0,811745	0,715753	0,084941	24,934012	28,461769	3,439522	-0,368280	-0,383935	0,015869	190,637238	190,649948	0,044057	0,985959	0,985892	0,000107
N/A	04.04.2023	15:07:57,484	0,002511	0,003047	0,000614	0,805247	2,209884	1,374460	0,793369	0,736992	0,066441	24,851668	27,578835	2,780120	-0,355540	-0,378943	0,014411	190,637238	190,649948	0,044057	0,985798	0,985892	0,000107
N/A	04.04.2023	15:07:59,804	0,002307	0,002896	0,000546	0,710973	1,843483	1,087886	0,798812	0,753982	0,051113	24,222379	26,836418	2,312823	-0,374871	-0,376405	0,011785	190,637238	190,649948	0,044057	0,985798	0,985892	0,000107
N/A	04.04.2023	15:08:01,466	0,002583	0,002757	0,000345	0,624022	1,551274	0,866042	0,798020	0,766345	0,040405	24,276408	26,209520	1,810306	-0,361245	-0,373174	0,009886	190,637238	190,649948	0,044057	0,985798	0,985878	0,000108
N/A	04.04.2023	15:08:03,390	0,002381	0,002675	0,000302	0,583094	1,316201	0,680382	0,822613	0,777329	0,035637	24,742725	25,775986	1,413908	-0,360706	-0,371189	0,009790	190,637238	190,637222	0,000016	0,985798	0,985865	0,000107
N/A	04.04.2023	15:08:05,750	0,002201	0,002584	0,000259	0,554312	1,137972	0,555603	0,817633	0,787039	0,028049	23,650481	25,348608	1,179289	-0,361678	-0,368731	0,007819	190,688110	190,641479	0,014686	0,985798	0,985865	0,000107
N/A	04.04.2023	15:08:07,756	0,001865	0,002496	0,000309	0,576335	0,997457	0,448183	0,835369	0,795048	0,026864	24,168508	25,066803	0,995032	-0,365530	-0,367989	0,007649	190,637238	190,641464	0,014686	0,985798	0,985865	0,000107
N/A	04.04.2023	15:08:09,429	0,002332	0,002432	0,000246	0,507314	0,878825	0,357976	0,820836	0,801933	0,020898	24,107161	24,832121	0,836885	-0,365324	-0,366769	0,006670	190,637238	190,641464	0,014686	0,985959	0,985879	0,000108
N/A	04.04.2023	15:08:11,360	0,002327	0,002404	0,000237	0,488935	0,789800	0,302455	0,824244	0,807368	0,016805	23,902731	24,614464	0,685475	-0,357407	-0,365888	0,007175	190,637238	190,641464	0,014686	0,985798	0,985865	0,000107
N/A	04.04.2023	15:08:13,336	0,002195	0,002363	0,000225	0,464967	0,709679	0,239216	0,834662	0,811833	0,016296	23,937734	24,443937	0,556109	-0,364598	-0,365273	0,006917	190,637238	190,641464	0,014686	0,985959	0,985852	0,000079
