Spectrum	Date	Time	CO% (1) 191C (2of3)	CO% (1) 191C (2of3) average	CO% (1) 191C (2of3) stdev	CO2% (20) 191C (1of2) R4	CO2% (20) 191C (1of2) R4 average	CO2% (20) 191C (1of2) R4 stdev	H2O% (25) 191C	H2O% (25) 191C average	H2O% (25) 191C stdev	CO (500) 191C (1of3)	CO (500) 191C (1of3) average	CO (500) 191C (1of3) stdev	CO2 low% (4) 191C (2of2)	CO2 low% (4) 191C (2of2) average	CO2 low% (4) 191C (2of2) stdev	Temp (C)	Temp (C) average	Temp (C) stdev	Pressure (Atm)	Pressure (Atm) average	Pressure (Atm) stdev	
N/A	03.04.2023	17:23:45,705	0,001040	0,001040	NaN	3,708834	3,708834	NaN	-0,180362	-0,180362	NaN	5,170517	5,170517	NaN	-0,029509	-0,029509	NaN	190,806824	190,806824	NaN	0,985477	0,985477	NaN
N/A	03.04.2023	17:23:47,982	0,001157	0,001098	0,000083	3,747396	3,728115	0,027267	-0,184661	-0,182511	0,003040	5,599726	5,385121	0,303496	-0,033817	-0,031663	0,003046	190,705078	190,755951	0,071945	0,985584	0,985530	0,000076
N/A	03.04.2023	17:23:50,039	0,001040	0,001079	0,000068	3,687694	3,714642	0,030272	-0,170630	-0,178551	0,007189	4,994644	5,254962	0,311254	-0,028792	-0,030706	0,002718	190,738983	190,750290	0,051807	0,985638	0,985566	0,000082
N/A	03.04.2023	17:23:51,697	0,001045	0,001070	0,000058	3,585471	3,682349	0,069153	-0,191576	-0,181807	0,008768	5,228026	5,248228	0,254495	-0,025864	-0,029495	0,003284	190,688110	190,734741	0,052498	0,985798	0,985624	0,000134
N/A	03.04.2023	17:23:54,042	0,000819	0,001020	0,000123	3,745510	3,694981	0,066216	-0,178023	-0,181050	0,007779	5,032289	5,205040	0,240628	-0,040825	-0,031761	0,005810	190,637238	190,715240	0,062998	0,985477	0,985595	0,000133
N/A	03.04.2023	17:23:55,984	0,001023	0,001021	0,000110	3,647126	3,687005	0,062364	-0,170178	-0,179238	0,008253	5,193368	5,203094	0,215277	-0,024448	-0,030542	0,005994	190,738983	190,719193	0,057174	0,985798	0,985629	0,000145
N/A	03.04.2023	17:23:57,617	0,000987	0,001016	0,000101	3,684561	3,686656	0,056938	-0,189912	-0,180763	0,008546	5,479980	5,242650	0,222648	-0,032875	-0,030876	0,005542	190,738983	190,722031	0,052726	0,985798	0,985653	0,000147
N/A	03.04.2023	17:23:59,573	0,001181	0,001036	0,000111	3,818166	3,703095	0,070290	-0,171760	-0,179638	0,008529	5,379231	5,259722	0,211713	-0,038805	-0,031867	0,005847	190,688110	190,717789	0,050266	0,985798	0,985671	0,000146
N/A	03.04.2023	17:24:01,554	0,000972	0,001029	0,000106	3,709929	3,703854	0,065790	-0,193588	-0,181188	0,009234	5,021913	5,233299	0,213315	-0,038420	-0,032595	0,005889	190,688110	190,714493	0,048049	0,985798	0,985685	0,000143
N/A	03.04.2023	17:24:04,012	0,001328	0,001059	0,000137	3,737902	3,707259	0,062955	-0,173591	-0,180428	0,009031	5,278876	5,237857	0,201631	-0,032531	-0,032589	0,005552	190,637238	190,706757	0,051468	0,985798	0,985696	0,000139
N/A	03.04.2023	17:24:05,806	0,001312	0,001082	0,000151	3,690335	3,705720	0,059942	-0,179377	-0,180332	0,008574	5,078587	5,223378	0,197220	-0,037798	-0,033062	0,005497	190,688110	190,705078	0,049150	0,985798	0,985706	0,000136
N/A	03.04.2023	17:24:07,504	0,000850	0,001063	0,000159	3,692064	3,704582	0,057288	-0,180913	-0,180381	0,008176	5,507029	5,247015	0,205096	-0,035784	-0,033289	0,005300	190,789856	190,712143	0,052869	0,985798	0,985713	0,000132
N/A	03.04.2023	17:24:09,620	0,000845	0,001047	0,000171	3,773112	3,709939	0,060629	-0,179827	-0,180336	0,008178	5,364201	5,263156	0,206147	-0,034883	-0,033737	0,005177	190,738983	190,706482	0,044841	0,985798	0,985740	0,000111
N/A	03.04.2023	17:24:11,637	0,001465	0,001072	0,000208	3,767911	3,711648	0,062054	-0,178344	-0,179810	0,008077	5,171575	5,227477	0,177686	-0,027932	-0,033246	0,005440	190,637238	190,700821	0,049108	0,985798	0,985758	0,000100
N/A	03.04.2023	17:24:13,509	0,000867	0,001058	0,000216	3,745141	3,716435	0,062253	-0,196196	-0,181940	0,008777	5,214637	5,245809	0,162149	-0,029322	-0,033290	0,005403	190,637238	190,692337	0,050680	0,985798	0,985771	0,000093
N/A	03.04.2023	17:24:15,429	0,001032	0,001057	0,000216	3,701769	3,726127	0,047258	-0,165569	-0,179773	0,009372	5,150806	5,239375	0,164435	-0,034431	-0,034004	0,004872	190,738983	190,696594	0,052392	0,985638	0,985758	0,000100
N/A	03.04.2023	17:24:17,469	0,001231	0,001091	0,000208	3,696000	3,722001	0,047572	-0,175227	-0,179540	0,009454	5,277974	5,259848	0,151058	-0,019600	-0,032236	0,005913	190,688110	190,700851	0,049108	0,985798	0,985785	0,000046
N/A	03.04.2023	17:24:19,767	0,001151	0,001102	0,000207	3,722746	3,728303	0,041354	-0,189100	-0,181117	0,009327	5,228812	5,262802	0,149983	-0,033010	-0,032949	0,005380	190,789856	190,705063	0,054591	0,985798	0,985785	0,000046
