Spectrum	Date	Time	CO% (1) 191C (2of3)	CO% (1) 191C (2of3) average	CO% (1) 191C (2of3) stdev	CO2% (20) 191C (1of2) R4	CO2% (20) 191C (1of2) R4 average	CO2% (20) 191C (1of2) R4 stdev	H2O% (25) 191C	H2O% (25) 191C average	H2O% (25) 191C stdev	CO (500) 191C (1of3)	CO (500) 191C (1of3) average	CO (500) 191C (1of3) stdev	CO2 low% (4) 191C (2of2)	CO2 low% (4) 191C (2of2) average	CO2 low% (4) 191C (2of2) stdev	Temp (C)	Temp (C) average	Temp (C) stdev	Pressure (Atm)	Pressure (Atm) average	Pressure (Atm) stdev	
N/A	04.04.2023	00:36:24,977	0,000932	0,014597	0,004505	1,911508	0,325873	0,499672	-0,088828	0,787054	0,275879	2,567064	146,307968	47,265358	-0,004716	0,004822	0,012589	190,637238	190,679626	0,052392	0,986120	0,985892	0,000242
N/A	04.04.2023	00:36:27,074	0,000904	0,013132	0,005799	2,496315	0,519154	0,796968	-0,151340	0,701174	0,383854	4,517577	131,157059	60,544823	0,008341	0,003147	0,010288	190,705078	190,685303	0,051044	0,986227	0,985874	0,000202
N/A	04.04.2023	00:36:29,276	0,013081	0,012779	0,005648	3,599265	0,804888	1,182159	-1,188341	0,530028	0,661444	57,364561	121,274834	62,223454	0,003230	0,002488	0,009978	190,637238	190,681046	0,052868	0,986120	0,985874	0,000202
N/A	04.04.2023	00:36:31,267	0,036994	0,014448	0,008976	3,599265	1,089586	1,408466	-3,697058	0,149606	1,376093	144,900768	119,162048	60,823875	-0,197043	-0,015629	0,057722	190,688110	190,685303	0,051044	0,986120	0,985888	0,000213
N/A	04.04.2023	00:36:32,930	0,067678	0,018706	0,017832	3,599265	1,375060	1,546345	-6,630017	-0,475042	2,366396	266,084470	127,521278	73,404243	-0,447792	-0,054465	0,136238	190,688110	190,689529	0,048752	0,986120	0,985914	0,000221
N/A	04.04.2023	00:36:34,862	0,078956	0,023958	0,024843	3,599265	1,663001	1,616383	-7,820173	-1,198661	3,125766	347,534227	143,000244	97,059685	-0,645266	-0,108434	0,216382	190,637238	190,689529	0,048752	0,986441	0,985954	0,000269
N/A	04.04.2023	00:36:36,849	0,083108	0,029568	0,029914	3,599265	1,948131	1,632261	-7,783073	-1,919375	3,571798	387,799057	162,210937	120,197037	-0,685553	-0,166277	0,268711	190,688110	190,681030	0,037194	0,986120	0,985995	0,000253
N/A	04.04.2023	00:36:38,826	0,084509	0,035333	0,033385	3,599265	2,233419	1,593038	-8,479946	-2,698448	3,911733	399,294618	182,609726	138,195068	-0,756066	-0,229169	0,311514	190,688110	190,685257	0,034552	0,986280	0,986035	0,000257
N/A	04.04.2023	00:36:40,808	0,082542	0,040956	0,035290	3,599265	2,516878	1,497662	-7,523568	-3,397053	3,966714	413,817961	204,567673	152,764114	-0,725512	-0,289744	0,332568	190,637238	190,681030	0,037194	0,986602	0,986115	0,000272
N/A	04.04.2023	00:36:42,927	0,081359	0,046521	0,036010	3,599265	2,801349	1,329341	-5,589495	-3,934932	3,768922	417,765556	227,165161	163,114700	-0,769198	-0,353205	0,346226	190,637238	190,676804	0,039163	0,986762	0,986195	0,000309
