Spectrum	Date	Time	CO% (1) 191C (2of3)	CO% (1) 191C (2of3) average	CO% (1) 191C (2of3) stdev	CO2% (20) 191C (1of2) R4	CO2% (20) 191C (1of2) R4 average	CO2% (20) 191C (1of2) R4 stdev	H2O% (25) 191C	H2O% (25) 191C average	H2O% (25) 191C stdev	CO (500) 191C (1of3)	CO (500) 191C (1of3) average	CO (500) 191C (1of3) stdev	CO2 low% (4) 191C (2of2)	CO2 low% (4) 191C (2of2) average	CO2 low% (4) 191C (2of2) stdev	Temp (C)	Temp (C) average	Temp (C) stdev	Pressure (Atm)	Pressure (Atm) average	Pressure (Atm) stdev	
N/A	04.04.2023	22:33:57,203	0,005681	0,013066	0,002629	2,500007	0,337788	0,681318	0,706829	0,841407	0,042628	57,098132	132,603531	26,630232	-0,370489	-0,135366	0,076180	190,738983	190,696594	0,036513	0,985236	0,985778	0,000206
N/A	04.04.2023	22:33:59,188	0,005821	0,012216	0,003178	2,042995	0,493418	0,836489	0,749537	0,832361	0,049697	56,019052	123,739449	32,802540	-0,377266	-0,159894	0,101078	190,789856	190,700821	0,044057	0,984995	0,985711	0,000305
N/A	04.04.2023	22:34:01,205	0,005653	0,011403	0,003516	1,719426	0,621874	0,899618	0,746176	0,823077	0,054710	55,090578	115,351509	36,531483	-0,365098	-0,182269	0,114606	190,789856	190,709305	0,050680	0,984834	0,985631	0,000394
N/A	04.04.2023	22:34:03,181	0,005226	0,010613	0,003763	1,413334	0,725509	0,914306	0,760446	0,815692	0,056823	53,984693	107,390450	38,751030	-0,371261	-0,205599	0,122619	190,688110	190,705078	0,050096	0,984674	0,985537	0,000476
N/A	04.04.2023	22:34:05,233	0,005261	0,009851	0,003850	1,226399	0,815871	0,904936	0,792534	0,810070	0,055360	53,849050	99,776039	39,609196	-0,367635	-0,227172	0,126736	190,738983	190,709290	0,050680	0,985156	0,985484	0,000480
N/A	04.04.2023	22:34:07,497	0,005191	0,009134	0,003850	1,064036	0,893714	0,880410	0,791753	0,804939	0,053819	52,864743	92,441933	39,455303	-0,377236	-0,249659	0,127488	190,637238	190,705063	0,054591	0,985156	0,985430	0,000478
N/A	04.04.2023	22:34:09,158	0,005233	0,008437	0,003723	0,964029	0,961298	0,848949	0,789169	0,799478	0,051588	52,453556	85,379143	38,281830	-0,379516	-0,271852	0,124724	190,789856	190,713547	0,059407	0,984995	0,985363	0,000478
N/A	04.04.2023	22:34:11,076	0,004919	0,007735	0,003502	0,804073	1,019120	0,808371	0,799156	0,795218	0,049061	52,016772	78,563583	36,094818	-0,373786	-0,292818	0,118259	190,738983	190,713547	0,059407	0,985316	0,985323	0,000458
N/A	04.04.2023	22:34:13,059	0,004932	0,007073	0,003178	0,684566	1,065272	0,767833	0,809407	0,791091	0,045141	51,720777	71,919601	32,648552	-0,374050	-0,313794	0,107064	190,738983	190,722031	0,054591	0,984995	0,985269	0,000455
N/A	04.04.2023	22:34:15,047	0,004732	0,006434	0,002752	0,612623	1,106844	0,723879	0,806809	0,787952	0,042312	51,234603	65,540222	27,869072	-0,372159	-0,333800	0,091293	190,637238	190,717789	0,059241	0,985156	0,985202	0,000400
N/A	04.04.2023	22:34:17,022	0,005039	0,005810	0,001986	0,639532	1,149671	0,674035	0,808571	0,784447	0,038189	51,212034	59,284641	20,427362	-0,360063	-0,352385	0,067088	190,738983	190,726257	0,053686	0,984834	0,985095	0,000289
N/A	04.04.2023	22:34:19,046	0,004793	0,005207	0,000355	0,535588	1,183884	0,626007	0,818013	0,781533	0,033536	51,487279	53,252609	1,970844	-0,374473	-0,371919	0,005536	190,688110	190,726273	0,053686	0,985316	0,985055	0,000203
N/A	04.04.2023	22:34:21,025	0,004910	0,005143	0,000331	0,492059	1,016555	0,497374	0,806837	0,789867	0,024490	50,355172	52,690693	1,720057	-0,370330	-0,371906	0,005540	190,738983	190,726257	0,053686	0,985477	0,985075	0,000232
N/A	04.04.2023	22:34:23,131	0,004931	0,005068	0,000256	0,513546	0,889101	0,396082	0,837615	0,797207	0,024503	50,632792	52,241840	1,454894	-0,356107	-0,370143	0,006883	190,688110	190,717773	0,050680	0,985316	0,985102	0,000241
